Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
208	item150	Mondstein	100	Reagent	Misc	20	1	1	0	Reagenzie	45	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Mondsteinen können blaue Zaubertränke hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
209	item151	Elfengiftpilz	500	Reagent	Misc	50	1	1	0	Reagenzie	46	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Elfengiftpilzen können blaue Zaubertränke hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
210	item143	Klatschmohn	1	Reagent	Misc	1	1	1	0	Reagenzie	38	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Klatschmohn können gelbe Zaubertränke hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
211	item152	Feenstaub	10	Reagent	Misc	5	1	1	0	Reagenzie	47	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Feenstaub können gelbe Zaubertränke hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
212	item153	Schwefel	50	Reagent	Misc	10	1	1	0	Reagenzie	48	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Schwefel können gelbe Zaubertränke hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
213	item154	Granat	100	Reagent	Misc	20	1	1	0	Reagenzie	49	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Granat können gelbe Zaubertränke hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
214	item155	Phiole mit Dämonenblut	500	Reagent	Misc	50	1	1	0	Reagenzie	50	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Dämonenblut können gelbe Zaubertränke hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und über einer Flasche mit einem Rechtsklick hinzugefügt werden.)
215	item142	Pilz	1	Reagent	Misc	3	1	1	0	Reagenzie	37	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Pilzen können Katalysatoren hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
216	item156	Obsidian	10	Reagent	Misc	7	1	1	0	Reagenzie	51	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Obsidian können Katalysatoren hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
217	item157	Phiole mit plasmatischem Schleim	50	Reagent	Misc	12	1	1	0	Reagenzie	52	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus endoplasmatischem Schleim können Katalysatoren hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
218	item158	Quecksilber	100	Reagent	Misc	25	1	1	0	Reagenzie	53	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Quecksilber können Katalysatoren hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
219	item159	Philosophen - Stein	500	Reagent	Misc	75	1	1	0	Reagenzie	54	0	0	0	0	Eine magische Zutat mit besonderen Eigenschaften. Aus Philosophensteinen können Katalysatoren hergestellt werden. (Zur Herstellung muß die Reagenzie aufgehoben und einer Flasche mit einem Rechtsklick hinzugefügt werden.)
220	item181	Trankflasche	1	Bottle	Misc	0	1	1	0	Trankflasche	76	0	0	0	0	Eine leere Flasche.
221	item164	Katalysator	1	Bottle	Misc	1	1	1	0	grauer Trank	59	0	0	0	0	Katalysatoren werden mit anderen Tränken vermischt, um deren Stärke zu verändern. Der Trank wird die Stärke des Katalysators annehmen. Von daher sollten keine starken Tränke mit schwächeren Katalysatoren gemischt werden. (Zum Mischen muß der Katalysator aufgehoben und einem Trank mit einem Rechtsklick hinzugefügt werden.)
222	item166	Wunden heilen	5	Bottle	Misc	1	1	1	0	roter Trank	56	0	0	0	0	Heilt 10 plus die Stärke des Trankes an Trefferpunkten. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
223	item160	Erwachen	10	Bottle	Misc	0	1	1	0	blauer Trank	55	0	0	0	0	Beseitigt den Zustand Schlaf. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
224	item162	Schwäche heilen	10	Bottle	Misc	0	1	1	0	gelber Trank	57	0	0	0	0	Heilt Schwäche. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
225	item168	Krankheit heilen	50	Bottle	Misc	0	1	1	0	oranger Trank	63	0	0	0	0	Heilt Krankheit. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
226	item161	Gift heilen	50	Bottle	Misc	0	1	1	0	violetter Trank	61	0	0	0	0	Heilt Gift. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
227	item167	Magischer Trank	20	Bottle	Misc	3	1	1	0	grüner Trank	62	0	0	0	0	Gibt 5 plus die Stärke des Trankes an Zauberpunkten zurück. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
228	item169	Eile	75	Bottle	Misc	5	1	1	0	gemischter Trank	66	0	0	0	0	Verleiht Eile (wie der Zauber) für 30 Minuten pro Stärkepunkt des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
229	item170	Heldentum	75	Bottle	Misc	5	0	1	0	gemischter Trank	66	0	0	0	0	Verleiht Heldentum (wie der Zauber) für 30 Minuten pro Stärkepunkt des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
230	item171	Segen	75	Bottle	Misc	5	0	1	0	gemischter Trank	66	0	0	0	0	Verleiht Segen (wie der Zauber) für 30 Minuten pro Stärkepunkt des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
231	item172	Bewahrung	75	Bottle	Misc	5	0	1	0	gemischter Trank	66	0	0	0	0	Verleiht Bewahrung (wie der Zauber) für 30 Minuten pro Stärkepunkt des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
232	item173	Schild	75	Bottle	Misc	5	0	1	0	gemischter Trank	66	0	0	0	0	Verleiht Schild (wie der Zauber) für 30 Minuten pro Stärkepunkt des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
233	item174	Aufladen	75	Bottle	Misc	5	0	1	0	gemischter Trank	66	0	0	0	0	Lädt einen Zauberstab wieder auf und kann auch Lähmung heilen. Der Zauberstab verliert dauerhaft 70% der Stärkepunkte des Trankes seiner Ladungen. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
234	item175	Steinhaut	75	Bottle	Misc	5	0	1	0	gemischter Trank	66	0	0	0	0	Verleiht Steinhaut (wie der Zauber) für 30 Minuten pro Stärkepunkt des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
235	item176	Wasser atmen	75	Bottle	Misc	5	0	1	0	gemischter Trank	66	0	0	0	0	Verhindert Schaden durch Ertrinken. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
236	item177	Härten	150	Bottle	Misc	0	0	1	0	gemischter Trank	66	0	0	0	0	Erhöht die Härte eines Gegenstandes gegen Zerbrechen. Der Trank wird mit Rechtsklick auf einen Gegenstand angewendet. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
237	item178	Furcht verjagen	150	Bottle	Misc	0	0	1	0	gemischter Trank	66	0	0	0	0	Furcht verjagen (wie der Zauber). Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
238	item179	Fluch entfernen	150	Bottle	Misc	0	0	1	0	gemischter Trank	66	0	0	0	0	Fluch entfernen (wie der Zauber). Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
239	item180	Irrsinn heilen	150	Bottle	Misc	0	0	1	0	gemischter Trank	66	0	0	0	0	Irrsinn heilen (wie der Zauber). Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
240	item163	Essenz der Stärke	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Stärke um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
241	item163	Essenz des Intellekts	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig den Intellekt um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
242	item163	Essenz des Charismas	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig das Charisma um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
243	item163	Essenz der Ausdauer	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Ausdauer um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
244	item163	Essenz der Reaktion	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Reaktion um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
245	item163	Essenz des Geschicks	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig das Geschick um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
246	item163	Waffenöl der Flammen	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Verursacht bei Kontakt Feuerschaden. Zum Werfen nimm den Trank mit Rechtsklick auf das Charakterportrait auf. Das Öl wird mit Rechtsklick auf eine Waffe angewendet. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
247	item163	Waffenöl der Vereisung	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Verursacht bei Kontakt Kälteschaden. Zum Werfen nimm den Trank mit Rechtsklick auf das Charakterportrait auf. Das Öl wird mit Rechtsklick auf eine Waffe angewendet. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
248	item163	Waffenöl des Vergiftens	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Verursacht bei Kontakt Giftschaden. Zum Werfen nimm den Trank mit Rechtsklick auf das Charakterportrait auf. Das Öl wird mit Rechtsklick auf eine Waffe angewendet. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
249	item163	Waffenöl der Funken	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Verursacht bei Kontakt Elektroschaden. Zum Werfen nimm den Trank mit Rechtsklick auf das Charakterportrait auf. Das Öl wird mit Rechtsklick auf eine Waffe angewendet. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
250	item163	Waffenöl der Schnelligkeit	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	"Verleiht einer Waffe die Fähigkeit ""der Schnelligkeit"" für 30 Minuten pro Stärke des Öls oder kann getrunken werden, um die Erholungszeit sofort zurückzusetzen. Das Öl wird mit Rechtsklick auf eine Waffe angewendet. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen."
251	item163	Stein zu Fleisch	750	Bottle	Misc	0	0	1	0	weißer Trank	58	0	0	0	0	Hebt Versteinerung auf. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
252	item163	Gottes Wiederherstellung	750	Bottle	Misc	0	0	1	0	weißer Trank	58	0	0	0	0	Hebt alle Zustände wieder auf außer Tod, Versteinerung und Vernichtung. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
253	item163	Gottes Heilung	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Heilt die fünffache Stärke des Trankes an Trefferpunkten. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
254	item163	Gottes Macht	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Heilt die dreifache Stärke des Trankes an Zauberpunkten. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
255	item163	Essenz des Glückes	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig das Glück um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
256	item163	Feuer - Resistenz	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Feuer - Resistenz um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
257	item163	Elektro - Resistenz	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Elektro - Resistenz um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
258	item163	Kälte - Resistenz	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Kälte - Resistenz um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
259	item163	Magie - Resistenz	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Magie - Resistenz um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
260	item163	Geistes - Resistenz	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Geistes - Resistenz um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
261	item163	Gift - Resistenz	350	Bottle	Misc	20	0	1	0	weißer Trank	58	0	0	0	0	Erhöht kurzzeitig die Gift - Resistenz um die dreifache Stärke, und das für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
262	item165	Tote auferwecken	1500	Bottle	Misc	20	0	1	0	schwarzer Trank	60	0	0	0	0	Erweckt einen getöteten Charakter zu neuem Leben, setzt seine Trefferpunkte auf die Stärkepunkte des Trankes und versetzt ihn in schwache Verfassung. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
263	item165	Waffenöl des Drachentöters	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Macht die Waffe zu einem Drachentöter, wenn möglich permanent, andernfalls für 30 Minuten pro Stärke des Öls. Der Trank wird mit Rechtsklick auf eine nichtmagische Waffe benutzt. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
264	item165	Wahres Glück	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht das Glück um die Stärke des Trankes. Kann nur einmal getrunken werden. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
265	item165	Wahre Reaktion	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht die Reaktion um die Stärke des Trankes. Kann nur einmal getrunken werden. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
266	item165	Wahrer Intellekt	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht die Ausdauer um die Stärke des Trankes. Kann nur einmal getrunken werden. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
267	item165	Wahre Ausdauer	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht den Intellekt um die Stärke des Trankes. Kann nur einmal getrunken werden. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
268	item165	Wahres Charisma	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht das Charisma um die Stärke des Trankes. Kann nur einmal getrunken werden. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
269	item165	Wahres Geschick	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht das Geschick um die Stärke des Trankes. Kann nur einmal getrunken werden. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
270	item165	Wahre Stärke	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht die Stärke um die Stärke des Trankes. Kann nur einmal getrunken werden. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
271	item165	Verjüngung	2000	Bottle	Misc	0	0	1	0	schwarzer Trank	60	0	0	0	0	Entfernt jede unnatürliche Alterung. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
272	item165	Feuer - Immunität	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Gibt kurzzeitig vollständige Feuer - Immunität, und das für 10 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
273	item165	Elektro - Immunität	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Gibt kurzzeitig vollständige Elektro - Immunität, und das für 10 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
274	item165	Kälte - Immunität	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Gibt kurzzeitig vollständige Kälte - Immunität, und das für 10 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
275	item165	Gift - Immunität	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Gibt kurzzeitig vollständige Gift - Immunität, und das für 10 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
276	item165	Geistes - Immunität	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Gibt kurzzeitig vollständige Geistes - Immunität, und das für 10 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
277	item165	Magie - Immunität	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Gibt kurzzeitig vollständige Magie - Immunität, und das für 10 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
278	item165	Schmerzreflexion	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Verleiht Schmerzreflexion (wie der Zauber) für 10 Minuten pro Stärkepunkt des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
279	item165	Gottes Meisterschaft	1000	Bottle	Misc	40	0	1	0	schwarzer Trank	60	0	0	0	0	Erhöht die Stufe des Charakters um eins plus 1 pro 5 Stärkepunkt für 30 Minuten pro Stärke des Trankes. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
280	item165	Ultimative Heilung	1500	Bottle	Misc	20	0	1	0	schwarzer Trank	60	0	0	0	0	Heilt einen verwundeten Charakter vollständig und fügt temporäre Trefferpunkte um die Stärke des Trankes hinzu. Der Trank wird mit Rechtsklick auf das Charakterportrait getrunken. Um den Trank weiter zu mischen, den aufgehobenen Trank mit Rechtsklick einem anderen Trank hinzufügen.
281	itemholy	Weihwasser	50	Bottle	Misc	10	0	1	0	Trankflasche	149	0	0	0	0	"Eine Flasche mit in einem Tempel gesegnetem Wasser. Verursacht Schaden bei Untoten. Zum Werfen nimm den Trank mit Rechtsklick auf das Charakterportrait auf. Das Wasser wird mit Rechtsklick auf eine Waffe angewendet und verleiht ihr die Fähigkeit ""Untotenbann"" für 10 Minuten pro Stärke des Wassers."
282	null	_potion/reagent282	0	0	0	0	0	0	0	_potion/reagent282	0	0	0	0	0	Description here.
283	null	_potion/reagent283	0	0	0	0	0	0	0	_potion/reagent283	0	0	0	0	0	Description here.
284	null	_potion/reagent284	0	0	0	0	0	0	0	_potion/reagent284	0	0	0	0	0	Description here.
285	null	_potion/reagent285	0	0	0	0	0	0	0	_potion/reagent285	0	0	0	0	0	Description here.
286	null	_potion/reagent286	0	0	0	0	0	0	0	_potion/reagent286	0	0	0	0	0	Description here.
287	null	_potion/reagent287	0	0	0	0	0	0	0	_potion/reagent287	0	0	0	0	0	Description here.
288	null	_potion/reagent288	0	0	0	0	0	0	0	_potion/reagent288	0	0	0	0	0	Description here.
289	null	_potion/reagent289	0	0	0	0	0	0	0	_potion/reagent289	0	0	0	0	0	Description here.
290	null	_potion/reagent290	0	0	0	0	0	0	0	_potion/reagent290	0	0	0	0	0	Description here.
291	null	_potion/reagent291	0	0	0	0	0	0	0	_potion/reagent291	0	0	0	0	0	Description here.
292	null	_potion/reagent292	0	0	0	0	0	0	0	_potion/reagent292	0	0	0	0	0	Description here.
293	null	_potion/reagent293	0	0	0	0	0	0	0	_potion/reagent293	0	0	0	0	0	Description here.
294	null	_potion/reagent294	0	0	0	0	0	0	0	_potion/reagent294	0	0	0	0	0	Description here.
295	null	_potion/reagent295	0	0	0	0	0	0	0	_potion/reagent295	0	0	0	0	0	Description here.
296	null	_potion/reagent296	0	0	0	0	0	0	0	_potion/reagent296	0	0	0	0	0	Description here.
297	null	_potion/reagent297	0	0	0	0	0	0	0	_potion/reagent297	0	0	0	0	0	Description here.
298	null	_potion/reagent298	0	0	0	0	0	0	0	_potion/reagent298	0	0	0	0	0	Description here.
299	null	_potion/reagent299	0	0	0	0	0	0	0	_potion/reagent299	0	0	0	0	0	Description here.
300	item184	Fackellicht	10	Sscroll	Misc	S1	1	2	1	Spruchrolle	77	0	0	0	0	Eine Zauberspruchrolle. Um den Zauber anzuwenden, muß die Spruchrolle auf das Charakterbild im Inventory geklickt werden.
301	item184	Feuerstrahl	20	Sscroll	Misc	S2	1	2	1	Spruchrolle	77	0	0	0	0	Eine Zauberspruchrolle. Um den Zauber anzuwenden, muß die Spruchrolle auf das Charakterbild im Inventory geklickt werden.
302	item184	Feuer - Resistenz	30	Sscroll	Misc	S3	1	2	1	Spruchrolle	77	0	0	0	0	Eine Zauberspruchrolle. Um den Zauber anzuwenden, muß die Spruchrolle auf das Charakterbild im Inventory geklickt werden.
