										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
62	7	Berserker	Mind	Berserker	Der Zauber läßt einen einzelnen Gegner irrsinnig vor Mordlust werden, der dann blindlings denjenigen angreifen wird, der ihm am nächsten steht, bis der Zauber seine Wirkung verliert. Betroffene Gegner können keine Zauber mehr sprechen. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Geistesmagie ab.	nicht möglich	nicht möglich	Zauberdauer: 30 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde pro Fähigkeitswert.	PC
63	8	Massenfurcht	Mind	Furcht	Alle Kreaturen in Sichtweite des Zaubernden fliehen. Nimmt eine Kreatur Schaden, solange sie unter der Wirkung des Zaubers steht, wird dieser sofort gebrochen. Massenfurcht hat keine Wirkung auf Untote. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Geistesmagie ab.	nicht möglich	nicht möglich	Zauberdauer: 15 Minuten pro Fähigkeitswert.	Zauberdauer: 30 Minuten pro Fähigkeitswert.	PC
64	9	Irrsinn heilen	none	Irrsinn heil.	Der Zauber heilt den Irrsinn eines Charakters, vorausgesetzt, er wird rechtzeitig eingesetzt. Je größer der Fähigkeitswert und der Fähigkeitsrang in Geistesmagie des Zaubernden ist, desto länger darf die Ursache des Irrsinns zurückliegen, bevor er nur noch in einem Tempel durch einen göttlichen Eingriff aufgehoben werden kann.	nicht möglich	nicht möglich	Die Ursache des Irrsinns darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Ursache des Irrsinns darf 1 Tag pro Fähigkeitswert zurückliegen.	P
65	10	Hirnschlag	Mind	Hirnschlag	Ähnlich dem Nervenschock wird dem Ziel dieses Zaubers Schaden durch die Kraft des Geistes zugefügt, jedoch in erheblich größerem Maße. Hirnschlag verursacht 8 Punkte + 1-8 Punkte pro Fähigkeitswert in Seelenmagie Schaden.	nicht möglich	Langsame Erhohlungszeit.	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	PMC
66	11	Versklaven	Mind	Sklave	Der Zaubernde übernimmt den Geist einer Kreatur für eine Stunde. Die betroffene Kreatur greift der Gruppe feindlich gesonnene Wesen an. Der Zauber endet auch dann nicht, wenn die Gruppe selbst der Kreatur Schaden zufügt. Der Zauber wirkt nicht auf Untote. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Geistesmagie ab.	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	P
	Lvl	Body Spells	Res		Spell Description					
67	1	Schwäche heilen	none	Schwäche h.	Der Zauber heilt den Zustand der Schwäche eines Charakters, vorausgesetzt, er wird rechtzeitig eingesetzt. Je größer der Fähigkeitswert und der Fähigkeitsrang in Körpermagie des Zaubernden ist, desto länger darf die Ursache der Schwäche zurückliegen, bevor sie nur noch in einem Tempel durch einen göttlichen Eingriff aufgehoben werden kann.	Die Ursache der Schwäche darf 3 Minuten pro Fähigkeitswert zurückliegen.	Die Ursache der Schwäche darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Ursache der Schwäche darf 1 Tag pro Fähigkeitswert zurückliegen.	Der Zauber betrifft die ganze Gruppe.	P
68	2	Heilen	none	Heilen	Der Zauber heilt Trefferpunkte eines Charakters. Die geheilte Anzahl an Trefferpunkten beträgt 5 + 2 pro Fähigkeitswert in Körpermagie.	Heilt 5 Trefferpunkte + 2 Trefferpunkte pro Fähigkeitswert.	Heilt 5 Trefferpunkte + 3 Trefferpunkte pro Fähigkeitswert.	Heilt 5 Trefferpunkte + 4 Trefferpunkte pro Fähigkeitswert.	Heilt 5 Trefferpunkte + 5 Trefferpunkte pro Fähigkeitswert.	P
69	3	Gift - Resistenz	none	Giftres.	Erhöht die Resistenz aller Charaktere gegen Vergiftung entsprechend dem Fähigkeitswert in Körpermagie für 1 Stunde pro Fähigkeitswert.	1 Punkt Resistenz pro Fähigkeitswert.	2 Punkte Resistenz pro Fähigkeitswert.	3 Punkte Resistenz pro Fähigkeitswert.	4 Punkte Resistenz pro Fähigkeitswert.	P
70	4	Verletzen	Magic	Verletzen	Verursacht direkt magischen Schaden an dem Opfer. Der Schaden beträgt 8 Punkte + 1-2 Punkte pro Fähigkeitswert in Körpermagie.	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMEC
71	5	Regeneration	none	Regen.	Dieser Zauber heilt einen Charakter langsam aber stetig, solange der Zauber aktiv ist.	nicht möglich	Langsame Heilung, Zauberdauer: 1 Stunde pro Fähigkeitswert.	Schnellere Heilung pro Minute.	Schnellste Heilung pro Minute.	P
72	6	Gift heilen	none	Gift heil.	Der Zauber heilt die Vergiftung eines Charakters, vorausgesetzt, er wird rechtzeitig eingesetzt. Je größer der Fähigkeitswert und der Fähigkeitsrang in Körpermagie des Zaubernden ist, desto länger darf die Vergiftung zurückliegen, bevor sie nur noch in einem Tempel durch einen göttlichen Eingriff aufgehoben werden kann.	nicht möglich	Die Vergiftung darf 3 Minuten pro Fähigkeitswert zurückliegen.	Die Vergiftung darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Vergiftung darf 1 Tag pro Fähigkeitswert zurückliegen.	P
73	7	Hammerhand	none	Hammer	"Verbessert die Fähigkeit ""Kampfkunst"", wodurch der Charakter präziser die verwundbaren Stellen seines Gegners treffen kann. Hammerhand fügt jedem Kampfkunst-Angriff magischen Schaden hinzu, der doppelt so hoch ist wie der Fähigkeitswert in Körpermagie des Zaubernden ist. Es wirkt sich auch auf normale Nahkampfwaffen aus, jedoch nur mit einer Effizienz von 25%."	nicht möglich	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	Der Zauber betrifft die ganze Gruppe.	PM
74	8	Lebenselixier	none	Lebensel.	Der Zauber heilt Krankheit, Betrunkenheit und Zombifizierung eines Charakters, vorausgesetzt, er wird rechtzeitig eingesetzt. Je größer der Fähigkeitswert und der Fähigkeitsrang in Körpermagie des Zaubernden ist, desto länger darf die Ursache des Zustandes zurückliegen, bevor sie nur noch in einem Tempel durch einen göttlichen Eingriff aufgehoben werden kann.	nicht möglich	nicht möglich	Die Ursache des Zustandes darf 1 Stunde pro Fähigkeitswert zurückliegen.	Die Ursache des Zustandes darf 1 Tag pro Fähigkeitswert zurückliegen.	P
75	9	Unwandelbarkeit	none	Unwandelbar	Der Zauber macht die ganze Gruppe immun gegen manche Zauber und gegen Auswirkungen von Attacken, die vergiften, mit Krankheit infizieren, zu Stein verwandeln, lähmen oder Schwäche verursachen würden. Der Zauber wird einen solchen Angriff pro Fähigkeitswert in Körpermagie abwenden (zu Stein verwandeln und lähmen zählt als 2 Mal abgewendet), danach ist der Zauber gebrochen.	nicht möglich	nicht möglich	Zauberdauer: 1 Stunde pro Fähigkeitswert.	Der Zauber schützt auch gegen Tod und Vernichtung (zählt als 3 Mal abgewendet).	P
76	10	Fliegende Faust	Phys	Faust	Schleudert eine machtvolle physische Kraft gegen einen Gegner. Diese verursacht 20 Punkte + 1-10 Punkte pro Fähigkeitswert in Körpermagie Schaden.	nicht möglich	nicht möglich	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	PMEC
77	11	Kraftheilung	none	Kraftheil.	Gibt der gesamten Gruppe gleichzeitig verlorene Trefferpunkte zurück. 10 Trefferpunkte + 5 Trefferpunkte pro Fähigkeitswert in Körpermagie werden der Gruppe zurückgegeben.	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	PM
	Lvl	Light Spells	Res		Spell Description					
78	1	Lichtpfeil	Ener	Licht	Schießt einen Pfeil aus Licht gegen einen Gegner. Dieser verursacht 1-4 Punkte Schaden pro Fähigkeitswert in Lichtmagie. Obwohl der Schaden gering ist, überwindet dieser Zauber alle bekannten magischen Schutzmaßnahmen und Immunitäten.	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PM
79	2	Untote vernichten	Holy	Untote vern.	Der Zauber beschwört die Mächte des Himmels, um die Magie, welche die Untoten am Leben erhält, aufzuheben. Der Schaden beträgt 1-16 Punkte pro Fähigkeitswert in Lichtmagie. Der Zauber zeigt nur Wirkung gegen Untote.	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	P
80	3	Magie vertreiben	none	Magie vertr.	Entfernt Zauberauswirkungen von allen Kreaturen in Sichtweite des Zaubernden. Mit steigendem Fähigkeitswert in Lichtmagie verkürzt sich die Erholungszeit.	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PM
81	6	Lähmen	Magic	Lähmen	Der Zauber verhindert vorübergehend die Möglichkeit einer Kreatur, anzugreifen und sich zu bewegen. Jedes Mal, wenn die Kreatur Schaden nimmt, besteht die Möglichkeit, daß der Zauber vorzeitig nachlässt. Daher sollte er am besten defensiv eingesetzt werden. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Lichtmagie ab.	Zauberdauer: 5 Minuten pro Fähigkeitswert.	Schnelle Erholungszeit, Zauberdauer: 10 Minuten pro Fähigkeitswert.	Schnellere Erholungszeit, Zauberdauer: 20 Minuten pro Fähigkeitswert.	Schnellste Erholungszeit, Zauberdauer: 30 Minuten pro Fähigkeitswert.	PM
82	5	Elementar beschwören	none	Elementar	Beschwört ein niederes Lichtelementar, welches für die Gruppe solange kämpft, bis es getötet wird oder der Zauber erlischt. Der Zauber hält 5 Minuten pro Fähigkeitswert in Lichtmagie an.	nicht möglich	Zauberdauer: 5 Minuten pro Fähigkeitswert, maximal 1 Elementar kann im Dienste der Gruppe stehen.	Beschwört ein normales Elementar, Zauberdauer: 15 Minuten pro Fähigkeitswert, maximal 3 Elementare können gleichzeitig im Dienste der Gruppe stehen.	Beschwört ein mächtiges Elementar, maximal 5 Elementare können gleichzeitig im Dienste der Gruppe stehen.	PM
83	6	Tag der Götter	none	Göttertag	Der Zauber erhöht zeitweise alle 7 Attribute der Charaktere um 10 Punkte + ein Vielfaches des Fähigkeitswert in Lichtmagie. Der Zauber bleibt aktiv, bis die Gruppe ruht.	nicht möglich	Alle Zauber werden mit dem doppelten Fähigkeitswert angewendet.	Alle Zauber werden mit dem dreifachen Fähigkeitswert angewendet.	Alle Zauber werden mit dem vierfachen Fähigkeitswert angewendet.	P
84	7	Prismenfeuer	Magic	Prismenfeuer	Der Zauber verursacht 25 Punkte + 1-3 Punkt pro Fähigkeitswert in Lichtmagie Schaden an allen Kreaturen in Sichtweite. Kann nicht im Freien angewendet werden.	nicht möglich	Langsame Erhohlungszeit.	Durchschnittliche Erholungszeit.	Schnellere Erholungszeit.	PC
85	8	Tag des Schutzes	none	Schutztag	Belegt die Gruppe gleichzeitig mit den Zaubern Elektro-Resistenz, Gift-Resistenz, Magie-Resistenz, Feuer-Resistenz, Geist-Resistenz, Kälte-Resistenz, Federfall und magisches Auge.	nicht möglich	nicht möglich	Die Zauber werden mit dem dreifachen Fähigkeitswert in Lichtmagie ausgesprochen.	Die Zauber werden mit dem vierfachen Fähigkeitswert in Lichtmagie ausgesprochen.	PMEC
86	9	Stunde der Macht	none	Machtstd.	Belegt die Gruppe gleichzeitig mit den Zaubern Eile, Heldentum, Schild, Steinhaut und Segen.	nicht möglich	nicht möglich	Die Zauber werden mit dem Meisterrang ausgesprochen.	Die Zauber werden mit dem Großmeisterrang ausgesprochen.	PMC
87	10	Solarstrahl	Fire	Solar	Bündelt die Feuerstrahlen der Sonne auf ein einzelnes Ziel. Der Schaden beträgt 20 Punkte + 1-20 Punkte pro Fähigkeitswert in Lichtmagie. Der Zauber wirkt nur unter freiem Himmel und bei Tage.	nicht möglich	nicht möglich	Langsame Erhohlungszeit.	Durchschnittliche Erholungszeit.	PC
88	11	Gottes Eingriff	none	Gotteseingr.	Heilt den gesamten Schaden an Trefferpunkten jedes Charakters, gibt ihnen alle verlorenen Zauberpunkte wieder und löst alle negativen Zustände auf. Der Zauber kann nur 3 mal pro Tag angewendet werden und der Zaubernde altert bei jeder Anwendung um 10 Jahre. Die Erholungsrate wird mit steigendem Fähigkeitswert in Lichtmagie verkürzt.	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	P
	Lvl	Dark Spells	Res		Spell Description					
89	1	Wiederbeleben	none	Beleben	Der Zauber befähigt den Zauberer, eine leblose Kreatur von den Toten zu erwecken. Dieser Zombie wird jeden dem-Zauberer feindlich gesinnten-Gegner angreifen, bis der Zombie selbst (erneut) erschlagen wird oder die Gruppe den Kartenabschnitt verläßt. Der Zombie verfügt über 20 Trefferpunkte pro Fähigkeitswert in Schattenmagie, allerdings maximal nur über so viele, wie er als Lebender hatte.	Der Zombie erhält 20 Trefferpunkte pro Fähigkeitswert (bis zu seinem normalen Maximum).	Der Zombie erhält 30 Trefferpunkte pro Fähigkeitswert (bis zu seinem normalen Maximum).	Der Zombie erhält 40 Trefferpunkte pro Fähigkeitswert (bis zu seinem normalen Maximum).	Der Zombie erhält 50 Trefferpunkte pro Fähigkeitswert (bis zu seinem normalen Maximum).	PM
90	2	Giftwolke	Pois	Giftwolke	Eine giftige Wolke entsteht vor dem Zaubernden und weht langsam davon, bis sie irgendetwas trifft. Der Schaden beträgt 25 Punkte + 1-10 Punkte pro Fähigkeitswert in Schattenmagie.	Durchschnittliche Erholungszeit.	Schnelle Erholungszeit.	Schnellere Erholungszeit.	Schnellste Erholungszeit.	PMEC
91	3	Vampirfluch	none	Vampir	Verzaubert eine normale in eine blutsaugende Waffe. Jeder durch die Waffe verursachte Schaden wird als Trefferpunkte an ihren Träger weiter gegeben (möglicherweise übersteigt er sein maximales Trefferpunkten).	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	Zauberdauer: 1 Stunde + 1 Stunde pro Fähigkeitswert.	Der Fluch bleibt permanent.	P
92	4	Schrumpfstrahl	Magic	Schrumpfen	Shrinks even the grandest of monsters to more manageable sizes. Duration of this spell is 20 minutes.  The success chance increases with your skill in Dark Magic.  A shrunken monster deals one half, one third, or one quarter its normal damage while shrunk.	Reduziert die Größe des Monsters (und den verursachten Schaden) auf die Hälfte.	Reduziert die Größe des Monsters (und den verursachten Schaden) auf ein Drittel.	Reduziert die Größe des Monsters (und den verursachten Schaden) auf ein Viertel.	Schrumpft eine ganze Gruppe von Monstern.	PC
93	5	Schrapnell	Phys	Schrapnell	Schleudert einen Hagel glühender Metallsplitter in gerader Linie vom Zaubernden weg, die alles verletzen, was ihnen im Wege steht. Jeder Metallsplitter verursacht je 6 Punkte + 1-6 Punkte Schaden pro Fähigkeitswert in Schattenmagie.	nicht möglich	Schnelle Erholungszeit, 5 Metallsplitter.	Schnellere Erholungszeit, 7 Metallsplitter.	Schnellste Erholungszeit, 9 Metallsplitter.	PMC
94	6	Untote beherrschen	Holy	Untote beh.	"Der Zaubernde übernimmt die Kontrolle über den ""Verstand"" eines Untoten. Solange der Zauber anhält, wird die beherrschte Kreatur Gegner der Gruppe angreifen. Der Zauber bleibt bestehen, auch wenn die Gruppe selbst den beherrschten Untoten angreift. Die Erfolgschance des Zaubers hängt von der Höhe des Fähigkeitswertes in Schattenmagie ab."	nicht möglich	Zauberdauer: 15 Minuten pro Fähigkeitswert.	Schnellere Erholungszeit, Zauberdauer: 30 Minuten pro Fähigkeitswert.	Schnellste Erholungszeit, Zauberdauer: Unbegrenzt.	P
95	7	Schmerz - Reflexion	none	Schmerz	Wenn ein Monster einem mit diesem Zauber bedachten Charakter Schaden zufügt, nimmt es selbst Schaden in gleicher Höhe.	nicht möglich	Zauberdauer: 1 Stunde + 5 Minuten pro Fähigkeitswert.	Betrifft die gesamte Gruppe.	Zauberdauer: 1 Stunde + 15 Minuten pro Fähigkeitswert.	PM
96	8	Opferung	none	Opfer	Dieser Zauber tötet einen Gruppengefolgsmann in einem bizarren Ritual. Der Zaubernde erhält alle verlorenen Trefferpunkte zurück und alle ihn betreffenden negativen Zustände, einschließlich magischen Alterns, werden aufgehoben. Diesen Zauber anzuwenden senkt drastisch den Ruf der Gruppe.	nicht möglich	nicht möglich	Langsame Erhohlungszeit.	Durchschnittliche Erholungszeit.	P
97	9	Drachenhauch	DragFire	Drachenha.	Der Zaubernde atmet eine explosive Feuerkugel aus, die Schaden an dem Ziel und an allen Kreaturen in der Nähe des Zieles verursachen. Die resultierende Schockwelle wirkt sich sogar auf feuerresistente Gegner aus. Der Schaden beträgt 1-25 Punkte pro Fähigkeitswert in Schattenmagie.	nicht möglich	nicht möglich	Langsame Erhohlungszeit.	Durchschnittliche Erholungszeit.	PMEC
98	10	Armageddon	Magic	Armageddon	Dieser Zauber ist der Städteverwüster. Er kann nur im Freien angewendet werden. Er verursacht 50 Punkte Schaden + 1 Punkt pro Fähigkeitswert in Schattenmagie an allen Lebewesen auf dem Kartenabschnitt, einschließlich der Gruppe selbst.	nicht möglich	nicht möglich	Kann nur 3 mal pro Tag angewendet werden.	Kann 4 mal pro Tag angewendet werden.	PC
99	11	Seelensauger	Cold	Seelensaug.	Dieser furchterregende Zauber taucht alle Lebewesen in Sichtweite in Grabähnliche Kälte ein, ob Freund oder Feind, entzieht Ihnen deren Lebenskraft, die sich dann in Form von Trefferpunkten auf die Gruppe verteilt (ähnlich dem Zauber geteiltes Leben). Schaden (und geheilte Trefferpunkte) betragen 25 + 1-8 Punkte pro Fähigkeitswert in Schattenmagie.	nicht möglich	nicht möglich	nicht möglich	Stärker geht's nicht!	P
