										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
78	1	Молния света	Ener	М. света	Стреляет световой молнией в отдельную цель, нанося 1-4 единицы урона на очко навыка в магии Света. Хотя урон не очень велик, это заклинание игнорирует любые известные магические защиты и иммунитеты.	Средний уровень восстановления	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PM
79	2	Нежить	Holy	Нежить	"Взывает к силе Небес с призывом уничтожить злую магию, которая продлевает существование живых мертвецов, навлекая 16 очков урона плюс 1-16 очков на очко навыка в Магии Света на отдельную цель. Это заклинание работает только на живых мертвецах."	Средний уровень восстановления	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PM
80	3	Снятие чар	none	Сн. чар	"Снимает все заклинания, наведенные на все существа в поле зрения заклинателя, - как полезные, так и вредные. Восстановление замедляется на сумму, равную навыку в Магии Света."	Средний уровень восстановления	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PM
81	6	Паралич	Magic	Паралич	"Паралич временно не дает монстру двигаться или нападать в течение (короткого) времени действия этого заклинания. Однако, если парализованному монстру будет нанесён урон, заклинание может развеяться раньше времени, так что его лучше использовать оборонительно. Шанс срабатывания заклинания увеличивается с вашим навыком в магии Света."	Продолжительность 5 минут	Быстрое восстановление, продолжительность 10 минут	Быстрое восстановление, продолжительность 20 минут	Самое быстрое восстановление, продолжительность 30 минут	PM
82	5	Элементал	none	Элемен.	Вызывает малого элементала Cвета для сражения вместе с отрядом. Он дерется на вашей стороне пока действует заклинание или пока не погибнет. Одновременно можно вызвать не более одного элементала.	н/д	Продолжительность 5 минут на очко навыка. 1 элементал за раз.	Вызывает обычного элементала. Продолжительность 15 минут на очко навыка. 3 элементала за раз	Вызывает более могучего элементала. 5 элементалов максимум.	PM
83	6	День богов	none	Д. богов	Временно увеличивает значение всех семи характеристик всех персонажей на десять очков плюс эффект навыка в магии Света. Действие заклинания обычно продолжается до отдыха.	н/д	Двойной эффект навыка	Тройной эффект навыка	Четырехкратный эффект навыка 	P
84	7	Свет призмы	Magic	Св. приз.	Наносит 25 очков урона плюс 1-3 очка на очко навыка в Магии Света на все существа в поле зрения. Это заклинание можно творить только внутри помещения.	н/д	Медленное восстановление	Средний уровень восстановления	Быстрое восстановление	PC
85	8	День Защиты	none	Д.защиты	"Одновременно наводит Защиту от Огня, Грома, Холода, Яда, Мысли и Магии, а кроме того заклинания Падение Пера и Око Чародея на всех ваших персонажей. Заклинания накладываются с увеличенной длительностью, а их сила зависит от вашего навыка в Магии Света."	н/д	н/д	Тройная длительность	Четырехкратная длительность 	PMEC
86	9	Час могущества	none	Час мог.	"Одновременно наводит на все персонажи заклинания Ускорение, Мужество, Щит, Каменная кожа и Благословение. Сила заклинаний зависит от вашего навыка в Магии Света."	н/д	н/д	Наводит заклинания как Мастер	Наводит заклинания как Магистр	PMC
87	10	Луч Солнца	Fire	Л.солнца	"Луч Солнца - это второе по разрушительности заклинание в игре, которое концентрирует огонь солнца на одном существе, которому явно не повезло. Поскольку Луч Солнца должен сфокусировать солнечный свет, заклинание не сработает ночью или глубоко под землёй. Луч Солнца наносит 20 очков урона плюс 1-20 очков на очко навыка в Магии Света."	н/д	н/д	Медленное восстановление	Средний уровень восстановления	PC
88	11	Божество	none	Божество	"Три раза в день вы можете воззвать к небесам об исцелении ваших персонажей от всего урона, восстановлении очков магии и снятии всех неблагоприятных состояний. Боги, однако, взыскивают высокую цену, состаривая заклинателя на десять лет за каждое Божество. Восстановление от этого заклинания укорачивается навыком в Магии Света."	н/д	н/д	н/д	Это заклинание лучше не бывает!	P
	Lvl	Dark Spells	Res		Описание заклинания					
89	1	Реанимация	none	Реаним.	"Реанимация позволяет поднимать безжизненное существо из мертвых (вроде бы). Зомби будет сражаться против враждебных вам монстров до тех пор, пока его (снова) не убьют или пока отряд не покинет карту. Количество единиц здоровья у зомби равно 10 на очко навыка в магии Тьмы, но не более максимального значения для данного класса существа."	Существо получает 20 единиц здоровья на очко навыка (до максимального количества для этого существа)	Существо получает 30 единиц здоровья на очко навыка	Существо получает 40 единиц здоровья на очко навыка	Существо получает 50 единиц здоровья на очко навыка	PM
90	2	Облако-токсин	Pois	Т.облако	Ядовитое облако вредных газов образуется перед заклинателем и медленно движется прочь от ваших персонажей. Это облако наносит 25 очков урона плюс 1-10 очков на очко навыка в Магии Тьмы, и оно продолжает движение, пока в него не попадет кто-нибудь.	Средний уровень восстановления	Быстрое восстановление	Быстрое восстановление	Самое быстрое восстановление	PMEC
91	3	Вампиризм	none	Вампир.	"Наделяет оружие вампирическим свойством. Повреждения, нанесенные этим оружием, передаются его владельцу в виде дополнительных единиц здоровья, которые могут временно превысить максимум."	Продолжительность 1 час на очко навыка	Быстрое восстановление	Самое быстрое восстановление	Возможно постоянное зачарование	P
92	4	Сжимающий луч	Magic	Сж. луч	"Сжимает даже самых крупных монстров до более приемлемых размеров. Продолжительность этого заклинания составляет 20 минут. Шанс срабатывания увеличивается с вашим навыком в магии Тьмы. Усохший монстр может нанести лишь половину, треть или четверть урона от своей нормальной способности."	Уменьшает монстра наполовину	Уменьшает монстра в три раза	Уменьшает монстра в четыре раза	Действует на группу монстров	PC
93	5	Шрапнель	Phys	Шрапнель	"Выстреливает заряд горячей зазубренной шрапнели перед заклинателем, поражая любое существо, попавшееся на пути. Каждый осколок наносит 6 очков урона плюс 1-6 очков на очко навыка в Магии Тьмы."	н/д	Быстрое восстановление и 5 осколков	Быстрое восстановление и 7 осколков	Самое быстрое восстановление и 9 осколков	PMC
94	6	Глава нежити	Holy	Г.нежити	"Позволяет получить контроль над разумом нежити. Повелеваемые живые мертвецы будут драться с монстрами, враждебными заклинателю, и не будут нападать на заклинателя, даже если он или его друзья атакуют их. Шанс срабатывания увеличивается с вашим навыком в магии Тьмы."	н/д	Продолжительность 15 минут	"Быстрое восстановление, продолжительность 30 минут"	"Самое быстрое восстановление, неограниченная длительность"	P
95	7	Отражение Боли	none	Отр.боли	"Когда монстр атакует персонаж, находящийся под защитой Отражения Боли, он наносит себе такой же урон, как и своему противнику."	н/д	Продолжительность 1 час + 5 минут на очко навыка	Действует на весь отряд	Продолжительность 1 час + 15 минут на очко навыка	PM
96	8	Убийство жертвы	none	У.жертвы	"Это дьявольское заклинание немедленно убивает одного из наёмников, существенно ухудшая репутацию отряда. У заклинателя тут же полностью восстанавливаются все очки магии, единицы здоровья, излечиваются все болезненные состояния и снимается магическое старение."	н/д	н/д	Медленное восстановление	Средний уровень восстановления	P
97	9	Дыхание Дракона	FirePois	Д. драк.	"Дыхание Дракона дает заклинателю возможность выдыхать облако токсичного пламени, которое наводится на отдельного монстра и повреждает все существа по соседству. Это заклинание - самое могучее разрушительное заклинание на земле, оно дает 1-25 очков урона на очко навыка в Магии Тьмы."	н/д	н/д	Медленное восстановление	Средний уровень восстановления	PMEC
98	10	Армагеддон	Magic	Армагед.	"Это заклинание - убийца городов. Его можно вызывать только вне помещения. Армагеддон наносит 50 очков урона плюс 1 очко на каждое очко навыка вашего персонажа в магии Тьмы каждому существу на карте, включая все ваши персонажи."	н/д	н/д	Можно творить три раза в день	Можно творить четыре раза в день	PC
99	11	Испить душу	Cold	Исп.душу	"Это ужасное заклинание наводит могильный холод на всех находящихся в пределах видимости существ, как враждебных, так и дружественных, высасывая их жизненную энергию. Затем заклинание переносит выпитую энергию в участников вашего отряда тем же образом, что и Общая жизнь. Урон (и лечение) составляет 25 + 1-8 единиц на очко навыка."	н/д	н/д	н/д	Это заклинание лучше не бывает!	P
