Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes		
156	item139	Мистический жезл Нарушения	3000	WeaponW	Misc	S44	15	3	26	Жезл	34	0	0	5	35	Драгоценное яйцо феникса было выхвачено из огня до вылупливания, чтобы стать верхушкой этого жезла.  Остальная часть жезла сделана из стали и пластин золота.  Чтобы использовать этот жезл, нужно поместить его за спину, вместо лука.		
157	item139	Мистический жезл Шрапнели	3000	WeaponW	Misc	S93	15	3	26	Жезл	34	0	0	5	35	Драгоценное яйцо феникса было выхвачено из огня до вылупливания, чтобы стать верхушкой этого жезла.  Остальная часть жезла сделана из стали и пластин золота.  Чтобы использовать этот жезл, нужно поместить его за спину, вместо лука.		
158	item139	Мистический жезл Сжатия	3000	WeaponW	Misc	S92	15	3	26	Жезл	34	0	0	5	35	Драгоценное яйцо феникса было выхвачено из огня до вылупливания, чтобы стать верхушкой этого жезла.  Остальная часть жезла сделана из стали и пластин золота.  Чтобы использовать этот жезл, нужно поместить его за спину, вместо лука.		
159	item139	Мистический Жезл Испепеления	3000	WeaponW	Misc	S11	15	3	26	Жезл	34	0	0	5	35	Драгоценное яйцо феникса было выхвачено из огня до вылупливания, чтобы стать верхушкой этого жезла.  Остальная часть жезла сделана из стали и пластин золота.  Чтобы использовать этот жезл, нужно поместить его за спину, вместо лука.		
160	itemrobp	Мантия паломника	50	Armor	Misc	1	0	2	1	Мантия	152	0	0	0	0	"Нехитро сшитое из грубой ткани, такое одеяние можно часто увидеть на пеших путешественниках.  Мантия может защитить от холода и непогоды, но в бою практически бесполезна.  По крайней мере, она не замедляет движения владельца, в отличие от настоящей брони."		
161	itemrobm	Боевая мантия	250	Armor	Misc	1	1	2	8	Мантия	152	0	0	0	0	"Мантии такого пошива часто носятся монахами из боевых орденов.  Хотя украшенная ткань почти не защищает от ударов, она также не мешает уклоняться от них.  Некоторые мантии также несут полезное зачарование."		
162	itemrobw	Мантия чародея	450	Armor	Misc	1	2	2	16	Мантия	152	0	0	0	0	"Этот фасон популярен среди чародеев Бракады.  Мантии несут как церемониальное, так и практическое значение: такая одежда легко поддаётся чарам, в том числе усиляющим магический дар, и большинство волшебников предпочитают подобные зачарования сомнительной защите кожаной брони."		
163	itemtk1	Метательные ножи	40	Missile	Dagger	1d4	0	4	1	Ножи	153	0	0	25	-85	Футляр с метательными ножами.  Ножи проигрывают стрелам в дальнобойности и смертоносности, но быстрее и проще в использовании.  Чтобы починить использованные ножи, зажмите Ctrl и нажмите на предмет.		
164	itemtk2	Ножи из живого дерева	200	Missile	Dagger	1d4	3	4	6	Ножи	153	0	0	24	-86	Волшебные метательные ножи эльфийской работы.  Взамен утраченных ножей со временем вырастают новые, однако в присутствии других сильных зачарований эта магия может подавляться.  Чтобы починить использованные ножи, зажмите Ctrl и нажмите на предмет.		
165	itemtk3	Нож-бумеранг	400	Missile	Dagger	1d4	6	4	12	Нож	5	0	0	-3	-80	Отличный метательный нож работы бракадских мастеров.  Благодаря наложенному на него заклятью телекинеза, нож возвращается к владельцу после броска.		
166	null	_item166	0	0	0	0	0	0	0	_item166	0	0	0	0	0	Описание здесь.		
167	null	_item167	0	0	0	0	0	0	0	_item167	0	0	0	0	0	Описание здесь.		
168	null	_item168	0	0	0	0	0	0	0	_item168	0	0	0	0	0	Описание здесь.		
169	null	_item169	0	0	0	0	0	0	0	_item169	0	0	0	0	0	Описание здесь.		
170	null	_item170	0	0	0	0	0	0	0	_item170	0	0	0	0	0	Описание здесь.		
171	null	_item171	0	0	0	0	0	0	0	_item171	0	0	0	0	0	Описание здесь.		
172	null	_item172	0	0	0	0	0	0	0	_item172	0	0	0	0	0	Описание здесь.		
173	null	_item173	0	0	0	0	0	0	0	_item173	0	0	0	0	0	Описание здесь.		
174	null	_item174	0	0	0	0	0	0	0	_item174	0	0	0	0	0	Описание здесь.		
175	null	_item175	0	0	0	0	0	0	0	_item175	0	0	0	0	0	Описание здесь.		
176	null	_item176	0	0	0	0	0	0	0	_item176	0	0	0	0	0	Описание здесь.		
177	null	_item177	0	0	0	0	0	0	0	_item177	0	0	0	0	0	Описание здесь.		
178	null	_item178	0	0	0	0	0	0	0	_item178	0	0	0	0	0	Описание здесь.		
179	null	_item179	0	0	0	0	0	0	0	_item179	0	0	0	0	0	Описание здесь.		
180	null	_item180	0	0	0	0	0	0	0	_item180	0	0	0	0	0	Описание здесь.		
181	null	_item181	0	0	0	0	0	0	0	_item181	0	0	0	0	0	Описание здесь.		
182	null	_item182	0	0	0	0	0	0	0	_item182	0	0	0	0	0	Описание здесь.		
183	null	_item183	0	0	0	0	0	0	0	_item183	0	0	0	0	0	Описание здесь.		
184	null	_item184	0	0	0	0	0	0	0	_item184	0	0	0	0	0	Описание здесь.		
185	null	_item185	0	0	0	0	0	0	0	_item185	0	0	0	0	0	Описание здесь.		
186	item199	Синий кварц	250	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
187	item198	Топаз	500	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
188	item197	Изумруд	2000	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
189	item202	Сапфир	1500	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
190	item195	Зеленый гранат	1250	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
191	item203	Розовый хрусталь	750	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
192	item196	Алмаз	2500	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
193	item204	Аметист	1750	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
194	item201	Желтый топаз	750	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
195	itemdiam	Бриллиант	3000	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
196	item200	Рубин	2000	Gem	Misc	0	0	0	0	Драгоценный камень	79	0	0	0	0	Драгоценный камень.  Он не имеет магической пользы, поэтому его можно продать.		
197	item187	Золото	0	gold	misc	0	0	0	0	золото	130	0	0	0	0	Маленькая кучка золотых.		
198	item188	Золото	0	gold	misc	0	0	0	0	золото	131	0	0	0	0	Кучка золотых.		
199	item189	Золото	0	gold	misc	0	0	0	0	золото	132	0	0	0	0	Много золотых монет.		
200	item141	Волчьи ягоды	1	Reagent	Misc	1	0	1	0	Реагент	36	0	0	0	0	Магический реагент необычных свойств.  Из волчьих ягод можно приготовить красные снадобья.  (Чтобы использовать, возьмите растение и щелкните правой кнопкой на пустой бутылке.)		
201	item144	Измельченные розовые лепестки	10	Reagent	Misc	5	0	1	0	Реагент	39	0	0	0	0	Магический реагент необычных свойств.  Измельченные розовые лепестки можно использовать для приготовления красных снадобий.  (Чтобы использовать, возьмите растение и щелкните правой кнопкой на пустой бутылке.)		
202	item145	Склянка с кровью тролля	50	Reagent	Misc	10	0	1	0	Реагент	40	0	0	0	0	Магический реагент необычных свойств.  Кровь тролля можно использовать для приготовления красных снадобий.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
203	item146	Рубин	100	Reagent	Misc	20	0	1	0	Реагент	41	0	0	0	0	Магический реагент необычных свойств.  Из рубинов можно приготовить красные снадобья.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
204	item147	Глаз дракона	500	Reagent	Misc	50	1	1	0	Реагент	42	0	0	0	0	Магический реагент необычных свойств.  Из глаз дракона можно приготовить красные снадобья.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
205	item140	Корень бузины	1	Reagent	Misc	1	1	1	0	Реагент	35	0	0	0	0	Магический реагент необычных свойств.  Из корня бузины можно приготовить синие снадобья.  (Чтобы использовать, возьмите растение и щелкните правой кнопкой на пустой бутылке.)		
206	item148	Осколок метеорита	10	Reagent	Misc	5	1	1	0	Реагент	43	0	0	0	0	Магический реагент необычных свойств.  Из осколка метеорита можно приготовить синие снадобья.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
207	item149	Перо гарпии	50	Reagent	Misc	10	1	1	0	Реагент	44	0	0	0	0	Магический реагент необычных свойств.  Перья гарпий можно использовать для приготовления синих снадобий.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
208	item150	Лунный камень	100	Reagent	Misc	20	1	1	0	Реагент	45	0	0	0	0	Магический реагент необычных свойств.  Лунные камни можно использовать для приготовления синих снадобий.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
209	item151	Эльфийская поганка	500	Reagent	Misc	50	1	1	0	Реагент	46	0	0	0	0	Магический реагент необычных свойств.  Эльфийские поганки можно использовать для приготовления синих снадобий.  (Чтобы использовать, возьмите растение и щелкните правой кнопкой на пустой бутылке.)		
210	item143	Маковый хруст	1	Reagent	Misc	1	1	1	0	Реагент	38	0	0	0	0	Магический реагент необычных свойств.  Из макового хруста можно приготовить желтые  снадобья.  (Чтобы использовать, возьмите растение и щелкните правой кнопкой на пустой бутылке.)		
211	item152	Пыль феи	10	Reagent	Misc	5	1	1	0	Реагент	47	0	0	0	0	Магический реагент необычных свойств.  Из Пыли феи врага можно приготовить желтые  снадобья.  (Чтобы использовать, возьмите Пыль феи и щелкните правой кнопкой на пустой бутылке.)		
212	item153	Сера	50	Reagent	Misc	10	1	1	0	Реагент	48	0	0	0	0	Магический реагент необычных свойств.  Из серы можно приготовить желтые  снадобья.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
213	item154	Гранат	100	Reagent	Misc	20	1	1	0	Реагент	49	0	0	0	0	Магический реагент необычных свойств.  Из граната можно приготовить желтые  снадобья.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
214	item155	Склянка с ихором дьявола	500	Reagent	Misc	50	1	1	0	Реагент	50	0	0	0	0	Магический реагент необычных свойств.  Ихор дьявола можно использовать для приготовления желтых снадобий.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
215	item142	Гриб	1	Reagent	Misc	1	1	1	0	Реагент	37	0	0	0	0	Магический реагент необычных свойств.  Из грибов можно приготовить катализаторы.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
216	item156	Обсидиан	10	Reagent	Misc	5	1	1	0	Реагент	51	0	0	0	0	Магический реагент необычных свойств.  Из обсидиана можно приготовить катализаторы.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
217	item157	Склянка с эндоплазмой слизня	50	Reagent	Misc	10	1	1	0	Реагент	52	0	0	0	0	Магический реагент необычных свойств.  Склянки с эндоплазмой слизня можно использовать для приготовления катализаторов.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
218	item158	Ртуть	100	Reagent	Misc	20	1	1	0	Реагент	53	0	0	0	0	Магический реагент необычных свойств.  Из ртути можно приготовить катализаторы.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
219	item159	Философский камень	500	Reagent	Misc	75	1	1	0	Реагент	54	0	0	0	0	Магический реагент необычных свойств.  Из философского камня можно приготовить катализаторы.  (Чтобы использовать, возьмите реагент и щелкните правой кнопкой на пустой бутылке.)		
220	item181	Бутылка для снадобий	1	Bottle	Misc	0	1	1	0	Бутылка для снадобий	76	0	0	0	0	Пустая бутылка под снадобье.		
221	item164	Катализатор	1	Bottle	Misc	1	1	1	0	Серое снадобье	59	0	0	0	0	Катализаторы смешиваются со снадобьями для увеличения силы зелья.  Снадобье примет силу катализатора, с которым вы его смешиваете.  Остерегайтесь смешивать сильное снадобье со слабым катализатором!  Чтобы использовать, возьмите катализатор и щелкните правой кнопкой мыши на другом снадобье.		
222	item166	Лечение Ран	5	Bottle	Misc	1	1	1	0	Красное снадобье	56	0	0	0	0	Лечит 10+сила снадобья единиц здоровья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
223	item160	Пробуждение	10	Bottle	Misc	0	1	1	0	Синее снадобье	55	0	0	0	0	Снимает состояние усыпления.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
224	item162	Лечение Слабости	10	Bottle	Misc	0	1	1	0	Желтое снадобье	57	0	0	0	0	Лечит слабость.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
225	item168	Лечение Болезни	50	Bottle	Misc	0	1	1	0	Оранжевое снадобье	63	0	0	0	0	Лечит болезнь.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
226	item161	Противоядие	50	Bottle	Misc	0	1	1	0	Пурпурное снадобье	61	0	0	0	0	Лечит отравление.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
227	item167	Магическое снадобье	20	Bottle	Misc	3	1	1	0	Зеленое снадобье	62	0	0	0	0	Восстанавливает 5+сила снадобья очков магии.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
228	item169	Ускорение	75	Bottle	Misc	5	1	1	0	Составное снадобье	66	0	0	0	0	Придает Ускорение (как заклинание) в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
229	item170	Мужество	75	Bottle	Misc	5	0	1	0	Составное снадобье	66	0	0	0	0	Придает Мужество (как заклинание) в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
230	item171	Благословение	75	Bottle	Misc	5	0	1	0	Составное снадобье	66	0	0	0	0	Дает Благословение (как заклинание) в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
231	item172	Сохранение	75	Bottle	Misc	5	0	1	0	Составное снадобье	66	0	0	0	0	Дает Сохранение (как заклинание) в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
232	item173	Щит	75	Bottle	Misc	5	0	1	0	Составное снадобье	66	0	0	0	0	Дает Щит (как заклинание) в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
233	item174	Перезарядка	75	Bottle	Misc	5	0	1	0	Составное снадобье	66	0	0	0	0	Перезаряжает жезл, а также лечит паралич.  Жезл навсегда теряет 70% зарядов минус 1% на единицу силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы перезарядить, возьмите снадобье и щелкните правой кнопкой мыши над предметом с зарядами.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
234	item175	Каменная кожа	75	Bottle	Misc	5	0	1	0	Составное снадобье	66	0	0	0	0	Дает Каменную кожу (как заклинание) в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
235	item176	Дышать под водой	75	Bottle	Misc	5	0	1	0	Составное снадобье	66	0	0	0	0	Не дает утонуть.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
236	item177	Закалка	150	Bottle	Misc	0	0	1	0	Составное снадобье	66	0	0	0	0	Увеличивает прочность предмета, делает его более устойчивым к поломке.  Чтобы использовать, возьмите снадобье и щелкните правой кнопкой мыши над предметом.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
237	item178	Снятие Страха	150	Bottle	Misc	0	0	1	0	Составное снадобье	66	0	0	0	0	Снимает состояние страха.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
238	item179	Снятие Порчи	150	Bottle	Misc	0	0	1	0	Составное снадобье	66	0	0	0	0	Снимает состояние проклятия..  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
239	item180	Лечение Безумия	150	Bottle	Misc	0	0	1	0	Составное снадобье	66	0	0	0	0	Лечит безумие.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
240	item163	Усиление Силы	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Силу на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
241	item163	Усиление Интеллекта	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Интеллект на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
242	item163	Усиление Силы духа	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Силу духа на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
243	item163	Усиление Выносливости	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Выносливость на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
244	item163	Усиление Скорости	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Скорость на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
245	item163	Усиление Меткости	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Меткость на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
246	item163	Огненное Снадобье	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Наносит урон огнём при контакте.  Чтобы бросить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы зачаровать оружие (30 мин. на ед. силы), возьмите зелье и щелкните правой кнопкой мыши на оружии.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
247	item163	Снадобье заморозки	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Наносит урон холодом при контакте.  Чтобы бросить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы зачаровать оружие (30 мин. на ед. силы), возьмите зелье и щелкните правой кнопкой мыши на оружии.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
248	item163	Отравленное Снадобье	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Наносит урон ядом при контакте.  Чтобы бросить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы зачаровать оружие (30 мин. на ед. силы), возьмите зелье и щелкните правой кнопкой мыши на оружии.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
249	item163	Шокирующее Снадобье	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Наносит урон громом при контакте.  Чтобы бросить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы зачаровать оружие (30 мин. на ед. силы), возьмите зелье и щелкните правой кнопкой мыши на оружии.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
250	item163	Снадобье Быстроты	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно делает оружие быстрее, а также может быть выпито, чтобы немедленно восстановиться и получить право хода.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы зачаровать оружие (30 мин. на ед. силы), возьмите зелье и щелкните правой кнопкой мыши на оружии.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
251	item163	Из Камня в Плоть	750	Bottle	Misc	0	0	1	0	Белое снадобье	58	0	0	0	0	Лечит состояние окаменения.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
252	item163	Снадобье Божественного Восстановления	750	Bottle	Misc	0	0	1	0	Белое снадобье	58	0	0	0	0	Снимает все состояния (за исключением смерти, окаменения или уничтожения).  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
253	item163	Божественное лечение	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Восстанавливает единицы здоровья. Количество восстанавливаемых единиц в пять раз выше силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
254	item163	Божественная сила	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Восстанавливает очки магии. Количество восстанавливаемых очков в пять раз выше силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
255	item163	Усиление Удачи	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Удачу на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
256	item163	Защита от огня	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Защиту от огня на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
257	item163	Защита от грома	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Защиту от грома на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья. Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
258	item163	Защита от холода	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Защиту от холода на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья. Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
259	item163	Защита от магии	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Защиту от магии на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья. Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
260	item163	Защита от мысли	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Защиту от мысли на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья. Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
261	item163	Защита от яда	350	Bottle	Misc	20	0	1	0	Белое снадобье	58	0	0	0	0	Временно увеличивает Защиту от яда на количество очков в три раза превышающее силу снадобья в течение 30 минут на очко силы снадобья. Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
262	item165	Оживление	1000	Bottle	Misc	40	0	1	0	Черное снадобье	60	0	0	0	0	Оживляет мертвого персонажа, наводит слабость, здоровье становится равным силе снадобья.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
263	item165	Снадобье Истребления	1000	Bottle	Misc	40	0	1	0	Черное снадобье	60	0	0	0	0	Добавляет одному оружию свойство убийца драконов, по возможности навсегда, иначе в течение 30 минут на очко силы снадобья.  Чтобы использовать, возьмите зелье и щелкните правой кнопкой мыши на оружии.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
264	item165	Абсолютная Удача	1000	Bottle	Misc	40	0	1	0	Черное снадобье	60	0	0	0	0	Навсегда добавляет силу снадобья к Удаче.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
265	item165	Абсолютная Скорость	1000	Bottle	Misc	40	0	1	0	Черное снадобье	60	0	0	0	0	Навсегда добавляет силу снадобья к Скорости.  Чтобы выпить, возьмите зелье и щелкните правой кнопкой мыши на портрете персонажа.  Чтобы смешать, возьмите зелье и щелкните правой кнопкой мыши на другом снадобье.		
